experiment_row_id,experiment_id,user_id,treatment_group,assigned_price,discount_pct,experiment_date,viewed_pricing_page,clicked_subscribe,subscribed,time_on_pricing_page_sec,pricing_page_scroll_depth_pct,hesitate_event_count,paywall_modal_shown,experiment_assignment_delay_sec
1,1,1,variant_high,14.99,15.0,2025-08-30,1,0,0,143.56,58.0,3,1,54
2,1,2,variant_mid,12.99,10.0,2025-05-21,1,1,0,120.83,57.1,2,0,89
3,1,3,control,9.99,0.0,2024-09-05,0,0,0,485.98,0.0,3,1,30
4,1,4,variant_mid,12.99,10.0,2025-12-15,1,0,0,132.16,79.9,2,1,5
5,1,5,control,9.99,0.0,2025-12-24,0,0,0,148.8,47.8,2,1,78
6,1,6,control,9.99,0.0,2026-01-04,1,0,0,75.33,39.8,4,1,22
7,1,7,control,9.99,0.0,2025-02-23,1,1,1,355.37,47.7,1,1,53
8,1,8,variant_high,14.99,15.0,2025-06-02,0,0,0,323.56,0.0,2,1,78
9,1,9,control,9.99,0.0,2025-01-23,1,0,0,60.95,75.6,3,1,31
10,1,10,variant_mid,12.99,10.0,2024-11-15,1,1,0,36.0,92.7,3,1,33
11,1,11,variant_mid,12.99,10.0,2025-01-22,0,0,0,85.89,2.7,3,1,50
12,1,12,variant_high,14.99,15.0,2024-02-28,1,0,0,63.2,79.6,2,1,20
13,1,13,variant_high,14.99,15.0,2024-04-30,1,1,0,21.18,54.4,7,0,8
14,1,14,variant_high,14.99,15.0,2025-03-19,0,0,0,42.63,9.1,4,1,75
15,1,15,variant_mid,12.99,10.0,2024-11-20,0,0,0,51.01,0.0,0,1,60
16,1,16,variant_mid,12.99,10.0,2024-12-31,0,0,0,49.81,19.4,0,1,43
17,1,17,variant_high,14.99,15.0,2025-11-13,0,0,0,208.87,21.7,3,0,27
18,1,18,control,9.99,0.0,2025-05-11,0,0,0,82.16,0.0,3,1,24
19,1,19,control,9.99,0.0,2024-03-04,0,0,0,200.66,18.6,0,1,2
20,1,20,variant_high,14.99,15.0,2025-12-21,1,1,1,716.83,53.7,3,1,56
21,1,21,control,9.99,0.0,2025-10-03,0,0,0,166.12,21.0,3,1,57
22,1,22,variant_mid,12.99,10.0,2024-05-09,1,1,1,425.37,54.9,3,1,54
23,1,23,control,9.99,0.0,2025-09-21,0,0,0,268.75,43.1,1,1,55
24,1,24,control,9.99,0.0,2024-10-14,0,0,0,233.2,14.9,2,1,22
