subscription_id,user_id,experiment_id,subscription_start_date,subscription_end_date,months_active,monthly_price_paid,churned,churn_reason,refund_flag,billing_failures,billing_anomaly_flag,total_revenue,lifetime_value,plan_tier,currency,last_renewal_outcome
1,7,1,2025-02-08,2028-03-24,38,10.06,1,life_event,0,1,0,381.51,336.95,standard,USD,success
2,20,1,2025-12-05,2028-06-22,31,12.94,1,competing_service,0,0,0,397.04,358.78,standard,USD,failed
3,22,1,2024-05-01,2025-03-27,11,11.43,1,competing_service,0,0,0,129.12,124.56,family,USD,success
4,35,1,2024-01-07,2024-12-02,11,11.55,1,life_event,0,0,0,129.33,124.77,standard,USD,success
5,39,1,2024-12-15,2027-07-03,31,13.15,1,did_not_use_enough,0,0,0,404.41,365.44,standard,USD,success
6,41,1,2024-04-23,2027-05-08,37,12.65,1,life_event,0,0,0,467.08,413.87,standard,USD,success
7,48,1,2024-07-02,,60,13.18,0,,1,0,0,778.73,640.06,standard,USD,success
8,50,1,2025-12-03,2027-05-27,18,10.05,1,,0,0,0,184.21,173.69,family,USD,success
9,51,1,2024-05-04,2025-07-28,15,13.17,1,,0,0,1,191.5,182.34,family,USD,success
10,52,1,2025-07-19,2026-03-16,8,11.68,1,price_too_high,0,1,0,98.02,95.49,standard,USD,success
11,59,1,2025-11-22,2025-12-22,1,12.81,1,price_too_high,0,0,0,13.21,13.17,standard,USD,success
12,67,1,2025-04-22,2025-06-21,2,11.8,1,unknown,0,0,0,28.66,28.47,standard,USD,success
13,78,1,2024-06-18,2025-10-11,16,11.77,1,did_not_use_enough,0,0,0,189.53,179.87,standard,USD,failed_then_recovered
14,80,1,2024-11-26,,60,11.64,0,,0,0,0,699.15,574.65,standard,USD,success
15,85,1,2024-07-23,2026-04-14,21,12.76,1,unknown,1,0,0,256.06,239.07,standard,USD,success
16,92,1,2025-03-23,2026-01-17,10,10.0,1,price_too_high,0,0,0,100.57,97.34,standard,USD,success
17,93,1,2025-05-17,2025-07-16,2,13.07,1,price_too_high,0,0,0,28.16,27.97,standard,USD,success
18,97,1,2025-03-13,2029-01-21,47,11.79,1,did_not_use_enough,0,0,0,554.4,475.45,standard,USD,success
19,103,1,2025-03-23,2025-11-18,8,12.65,1,competing_service,0,0,0,103.63,100.96,standard,USD,success
20,108,1,2024-05-04,2024-09-01,4,12.71,1,price_too_high,0,0,0,47.81,47.19,standard,USD,success
21,119,1,2025-07-07,2027-11-24,29,9.98,1,,0,1,0,286.64,260.72,standard,USD,failed_then_recovered
22,123,1,2025-02-22,2025-08-21,6,11.54,1,did_not_use_enough,0,0,0,69.11,67.77,standard,USD,success
23,124,1,2024-01-17,2024-06-15,5,12.73,1,unknown,0,0,0,60.0,59.03,student,USD,success
24,125,1,2024-10-05,2024-11-04,1,10.2,1,did_not_use_enough,0,0,0,8.87,8.84,standard,USD,success
25,127,1,2024-12-14,2025-02-12,2,10.15,1,,0,0,0,19.14,19.01,standard,EUR,success
26,128,1,2025-08-23,2025-12-21,4,10.1,1,did_not_use_enough,0,0,0,41.72,41.18,standard,USD,success
27,137,1,2024-06-18,2027-02-03,32,9.92,1,price_too_high,0,0,0,317.49,285.96,standard,USD,success
28,138,1,2024-11-05,2025-11-30,13,10.02,1,did_not_use_enough,0,0,0,132.94,127.41,standard,USD,success
29,146,1,2024-11-20,2026-06-13,19,10.1,1,price_too_high,0,0,0,187.72,176.42,standard,USD,success
30,153,1,2025-01-11,2028-08-23,44,9.96,1,price_too_high,0,1,0,434.25,376.09,family,USD,failed_then_recovered
31,161,1,2024-06-20,2025-07-15,13,11.73,1,price_too_high,0,0,0,150.24,143.99,standard,USD,success
32,163,1,2024-11-25,,60,10.08,0,,0,0,0,602.52,495.23,standard,USD,success
33,166,1,2025-09-12,2025-11-11,2,11.74,1,did_not_use_enough,1,0,0,-5.47,-5.43,standard,USD,success
34,171,1,2024-11-05,2026-06-28,20,10.27,1,price_too_high,0,0,0,206.61,193.53,standard,USD,success
35,182,1,2025-11-03,2026-05-02,6,13.18,1,,0,0,0,78.92,77.39,standard,USD,success
36,207,1,2025-03-29,,60,12.8,0,,0,0,0,771.52,634.14,standard,USD,success
37,209,1,2025-10-19,2028-12-02,38,12.58,1,life_event,1,1,0,468.14,413.46,standard,USD,success
38,212,1,2024-07-23,2026-05-14,22,11.94,1,billing_issue,0,1,0,269.8,251.08,family,USD,failed_then_recovered
39,218,1,2025-05-23,2026-03-19,10,11.64,1,did_not_use_enough,0,0,0,114.05,110.38,standard,USD,success
40,227,1,2025-06-09,2028-03-25,34,11.85,1,billing_issue,0,2,0,401.41,359.19,family,EUR,success
41,240,1,2024-08-20,2027-04-07,32,12.9,1,competing_service,0,0,0,411.42,370.57,standard,EUR,success
42,248,1,2024-08-31,2025-05-28,9,13.04,1,did_not_use_enough,0,0,0,116.54,113.16,standard,USD,success
43,249,1,2025-08-08,2026-01-05,5,12.9,1,did_not_use_enough,0,0,0,69.26,68.13,standard,USD,success
44,252,1,2025-12-15,2030-01-23,50,9.74,1,did_not_use_enough,0,0,0,483.28,410.41,standard,USD,success
45,255,1,2025-03-05,2025-10-31,8,12.78,1,did_not_use_enough,0,0,0,103.17,100.51,standard,USD,success
46,258,1,2025-09-15,,60,13.05,0,,0,0,0,780.72,641.7,standard,USD,success
47,261,1,2024-09-29,2025-10-24,13,11.88,1,did_not_use_enough,0,0,0,152.49,146.14,standard,USD,success
48,262,1,2025-02-08,2025-07-08,5,10.1,1,life_event,0,0,0,51.31,50.48,family,USD,success
49,265,1,2024-11-20,2026-09-11,22,9.91,1,unknown,0,0,0,216.37,201.36,standard,USD,success
50,284,1,2025-07-18,2025-08-17,1,11.77,1,billing_issue,0,2,0,12.03,11.99,standard,USD,success
51,290,1,2024-12-03,2025-04-02,4,12.71,1,billing_issue,0,0,0,55.11,54.39,standard,USD,success
52,292,1,2024-11-20,,60,11.69,0,,0,0,0,697.87,573.6,standard,EUR,success
53,296,1,2025-05-05,2025-08-03,3,13.1,1,did_not_use_enough,0,0,0,37.03,36.67,standard,USD,success
54,300,1,2025-12-22,,60,11.64,0,,0,0,0,699.58,575.0,standard,USD,success
55,303,1,2024-07-12,2024-09-10,2,9.97,1,,0,0,0,19.28,19.15,standard,USD,failed_then_recovered
56,310,1,2025-12-18,2028-03-07,27,9.85,1,billing_issue,0,0,0,267.0,244.45,standard,USD,failed_then_recovered
57,318,1,2025-09-17,,60,11.82,0,,0,1,0,708.5,582.34,family,USD,failed
58,320,1,2025-04-10,2027-07-29,28,12.56,1,price_too_high,0,1,0,355.97,324.84,standard,USD,success
59,326,1,2025-03-30,2027-04-19,25,9.96,1,,0,0,0,253.04,233.19,standard,USD,success
60,328,1,2024-02-01,2027-04-16,39,11.86,1,did_not_use_enough,0,0,0,462.33,407.0,standard,USD,success
61,335,1,2024-06-06,,60,12.66,0,,0,0,0,764.01,627.96,student,USD,success
62,341,1,2025-09-19,2025-10-19,1,11.8,1,,0,0,1,11.92,11.88,standard,USD,success
63,347,1,2024-12-31,2028-11-10,47,11.74,1,billing_issue,0,0,0,548.88,470.72,standard,USD,success
64,354,1,2024-07-15,2026-01-06,18,11.47,1,billing_issue,0,0,0,204.98,193.27,standard,USD,success
65,364,1,2024-05-22,,60,11.79,0,,0,0,0,706.28,580.51,standard,USD,success
66,380,1,2024-01-05,2025-02-28,14,10.04,1,competing_service,0,0,0,140.51,134.23,standard,USD,success
67,383,1,2024-04-08,2025-03-04,11,11.97,1,,0,0,0,129.91,125.32,standard,USD,success
68,412,1,2025-06-08,2029-07-17,50,11.71,1,competing_service,0,0,0,581.72,494.02,student,USD,success
69,422,1,2025-08-11,2026-10-05,14,11.57,1,did_not_use_enough,0,0,0,161.62,154.39,standard,USD,failed
70,424,1,2024-03-19,2024-09-15,6,11.96,1,,0,0,1,71.57,70.18,standard,EUR,success
71,435,1,2024-08-05,2026-05-27,22,10.04,1,billing_issue,0,0,0,221.94,206.54,family,USD,success
72,436,1,2025-01-11,2028-08-23,44,12.9,1,,0,0,0,570.73,494.28,standard,USD,success
73,443,1,2024-03-29,2024-07-27,4,11.82,1,price_too_high,0,0,0,47.77,47.15,standard,EUR,success
74,444,1,2025-09-21,2028-11-04,38,11.7,1,price_too_high,0,1,0,448.34,395.98,standard,EUR,success
75,445,1,2025-01-13,2025-05-13,4,10.06,1,competing_service,0,0,0,41.61,41.07,family,USD,success
76,454,1,2024-10-08,2025-10-03,12,11.69,1,billing_issue,0,2,0,138.2,132.89,standard,USD,success
77,472,1,2025-09-16,2029-08-26,48,11.54,1,did_not_use_enough,0,0,0,554.82,474.26,standard,USD,success
78,476,1,2025-01-29,2025-04-29,3,12.72,1,unknown,0,0,0,34.59,34.25,standard,USD,success
79,484,1,2024-04-12,2024-07-11,3,9.99,1,did_not_use_enough,0,0,0,30.45,30.15,standard,USD,success
80,488,1,2024-11-30,2026-09-21,22,12.72,1,did_not_use_enough,0,0,0,280.77,261.29,standard,EUR,success
81,495,1,2024-01-10,,60,10.02,0,,1,0,0,592.6,487.07,standard,USD,success
82,498,1,2025-12-11,2026-01-10,1,9.99,1,,0,0,0,1.38,1.38,standard,USD,success
83,502,1,2024-05-11,2024-09-08,4,9.94,1,billing_issue,0,0,0,35.77,35.3,standard,USD,success
84,504,1,2025-07-16,2030-05-21,59,9.87,1,price_too_high,0,0,0,583.26,480.96,student,EUR,success
85,517,1,2025-06-04,,60,12.48,0,,0,0,1,755.31,620.81,standard,USD,success
86,519,1,2024-12-25,2026-07-18,19,9.97,1,price_too_high,0,0,0,181.59,170.65,standard,USD,failed
87,535,1,2024-07-05,2025-01-01,6,11.67,1,price_too_high,0,0,0,71.21,69.83,standard,USD,success
88,538,1,2024-10-12,2025-04-10,6,11.75,1,did_not_use_enough,0,0,0,70.71,69.34,standard,USD,success
89,547,1,2025-08-28,,60,12.91,0,,0,0,0,773.63,635.87,family,USD,success
90,549,1,2025-12-07,2026-02-05,2,12.93,1,did_not_use_enough,0,0,0,24.03,23.88,standard,USD,success
91,563,1,2025-10-08,2026-12-02,14,11.89,1,unknown,0,0,0,160.04,152.88,family,USD,success
92,568,1,2024-11-18,,60,12.61,0,,1,0,0,744.01,611.52,standard,EUR,success
93,580,1,2025-03-03,2025-04-02,1,11.88,1,did_not_use_enough,0,0,0,11.85,11.81,standard,USD,success
94,581,1,2025-10-07,2026-08-03,10,12.96,1,life_event,0,0,0,123.48,119.51,standard,USD,success
95,582,1,2025-11-02,2026-01-01,2,10.06,1,billing_issue,0,0,0,20.81,20.67,family,EUR,success
96,593,1,2024-12-20,2026-06-13,18,12.6,1,price_too_high,0,0,0,229.45,216.34,family,USD,success
97,594,1,2024-02-29,2025-08-22,18,10.04,1,did_not_use_enough,0,0,0,182.87,172.42,family,USD,success
98,605,1,2024-01-17,2024-11-12,10,10.09,1,unknown,1,0,0,91.0,88.08,standard,USD,failed
99,607,1,2025-07-31,2027-07-21,24,12.77,1,,0,0,0,308.03,284.79,standard,USD,failed_then_recovered
100,610,1,2025-08-22,,60,11.64,0,,0,1,0,703.89,578.55,standard,USD,success
