user_id,signup_date,age,country,device_type,traffic_source,income_segment,engagement_score,historical_platform_usage,email_verified,payment_method,prior_trial_user,student_flag,timezone,app_version,signup_hour_utc,notification_opt_in,account_completeness_score,cohort_week
1,2025-08-21,17.0,GB,mobile_ios,referral,40k_70k,56.55,13.64,1,card,0,0,UTC+08:00,3.10.2,4,1,0.51,85
2,2025-05-06,21.0,PH,mobile_ios,email,100k_150k,51.28,15.406,1,google_pay,0,0,UTC+08:00,3.10.2,4,0,0.98,70
3,2024-08-30,20.0,NG,web_desktop,email,,50.59,10.503,1,bank_debit,0,0,UTC+08:00,3.10.0,18,0,0.7,34
4,2025-11-25,16.0,PH,web_desktop,direct,100k_150k,41.17,7.787,1,google_pay,0,0,UTC+00:00,3.10.2,14,0,0.66,99
5,2025-12-19,41.0,CA,mobile_android,organic_search,40k_70k,44.25,4.686,1,paypal,0,0,UTC-05:00,3.10.0,17,0,0.73,102
6,2025-12-27,29.0,SG,web_mobile,direct,150k_plus,63.39,24.07,0,bank_debit,0,0,UTC+00:00,3.9.1,23,1,0.79,103
7,2025-02-08,33.0,NG,mobile_ios,affiliate,40k_70k,57.06,11.782,0,card,0,0,UTC+08:00,3.10.2,4,1,0.98,57
8,2025-05-18,24.0,SG,web_desktop,email,40k_70k,54.56,5.864,1,paypal,1,0,UTC-05:00,3.10.2,1,1,0.44,71
9,2025-01-22,,DE,mobile_android,email,40k_70k,60.87,12.792,1,paypal,0,1,UTC-08:00,3.10.0,16,1,0.64,55
10,2024-10-28,29.0,IN,web_desktop,referral,100k_150k,23.25,8.96,1,card,1,1,UTC+05:30,4.0.0-beta,13,0,0.84,43
11,2025-01-18,37.0,IN,mobile_android,direct,70k_100k,27.85,5.869,0,paypal,0,0,UTC+00:00,3.11.1,2,0,0.93,54
12,2024-02-19,40.0,US,mobile_android,direct,100k_150k,72.75,9.529,1,card,0,0,UTC-05:00,3.10.0,2,1,0.82,7
13,2024-04-28,25.0,NG,mobile_android,direct,40k_70k,48.91,10.648,1,card,0,0,UTC-08:00,3.11.1,18,1,0.78,16
14,2025-03-08,16.0,GB,mobile_android,direct,100k_150k,64.76,7.319,0,card,0,0,UTC+05:30,3.10.0,5,1,0.41,61
15,2024-11-01,16.0,DE,web_desktop,paid_social,40k_70k,43.26,5.291,1,card,1,0,UTC-05:00,3.11.0,23,0,0.69,43
16,2024-12-17,26.0,US,mobile_ios,direct,40k_70k,54.97,14.074,1,bank_debit,0,0,UTC-08:00,3.10.0,9,1,0.71,50
17,2025-10-30,28.0,IN,web_mobile,email,150k_plus,29.77,9.933,1,card,0,0,UTC+08:00,3.10.0,21,0,0.69,95
18,2025-05-04,19.0,US,tablet,organic_search,40k_70k,28.54,3.186,1,card,0,0,UTC+08:00,3.11.0,23,1,0.39,69
19,2024-02-22,29.0,US,mobile_android,organic_search,<40k,73.68,5.126,1,card,0,0,UTC+05:30,3.10.2,14,0,0.8,7
20,2025-12-05,39.0,GB,tablet,organic_search,70k_100k,66.72,3.192,1,card,0,1,UTC+01:00,3.9.1,8,0,0.95,100
21,2025-09-22,41.0,US,mobile_android,referral,100k_150k,36.89,3.44,1,paypal,0,0,UTC-05:00,3.11.1,6,1,0.52,90
22,2024-05-01,24.0,BR,mobile_ios,email,<40k,61.1,8.5,1,paypal,0,0,UTC+00:00,3.10.2,23,1,0.82,17
23,2025-09-13,,PH,web_mobile,referral,100k_150k,64.67,5.838,1,paypal,0,0,UTC+05:30,3.10.2,20,1,0.92,88
24,2024-09-27,38.0,PH,mobile_android,paid_social,150k_plus,28.29,8.903,1,card,0,0,UTC-05:00,3.11.1,22,1,0.98,38
25,2024-09-28,40.0,SG,mobile_ios,direct,70k_100k,73.36,6.918,1,card,0,0,UTC+05:30,3.10.0,18,1,0.6,38
26,2025-02-24,33.0,BR,mobile_ios,organic_search,150k_plus,64.21,4.069,1,card,1,1,UTC+05:30,3.10.0,10,0,0.75,60
27,2025-10-23,35.0,IN,web_desktop,direct,<40k,58.72,4.246,1,paypal,0,0,UTC+08:00,4.0.0-beta,0,0,0.73,94
28,2024-09-13,36.0,CA,mobile_ios,referral,70k_100k,40.4,10.904,1,card,1,0,UTC-08:00,3.9.0,2,1,0.8,36
29,2025-02-24,25.0,PH,web_desktop,referral,150k_plus,61.66,14.46,1,card,0,0,UTC-08:00,3.10.2,21,1,0.61,60
30,2024-05-08,22.0,SG,web_mobile,direct,40k_70k,60.34,2.96,0,card,0,0,UTC-08:00,3.10.0,3,0,0.77,18
31,2024-03-03,35.0,AU,web_mobile,email,100k_150k,69.48,8.602,1,card,0,0,UTC+08:00,3.10.0,14,1,0.66,8
32,2025-03-12,47.0,US,web_mobile,paid_social,70k_100k,55.09,17.905,1,paypal,0,0,UTC+01:00,3.9.0,4,0,0.68,62
33,2024-06-20,22.0,IN,mobile_ios,organic_search,,45.35,7.73,1,card,0,0,UTC+05:30,3.11.1,7,0,0.53,24
34,2024-01-29,24.0,US,mobile_android,direct,150k_plus,20.1,5.698,0,card,0,0,UTC+05:30,3.11.0,15,1,0.42,4
35,2024-01-07,22.0,PH,web_mobile,affiliate,40k_70k,64.46,47.287,1,google_pay,0,0,UTC-05:00,3.10.2,15,0,0.97,0
36,2024-10-02,16.0,US,mobile_ios,email,unknown,32.71,5.017,1,card,0,0,UTC+05:30,3.11.0,12,1,0.94,39
37,2024-06-30,16.0,AU,tablet,email,40k_70k,43.48,27.967,1,apple_pay,0,0,UTC+05:30,3.10.2,20,1,0.46,25
38,2025-12-11,16.0,US,web_desktop,direct,100k_150k,38.34,5.682,0,paypal,1,0,UTC+08:00,4.0.0-beta,18,0,0.98,101
39,2024-12-15,30.0,US,web_mobile,affiliate,100k_150k,67.61,13.86,1,bank_debit,0,0,UTC-05:00,3.9.1,2,1,0.55,49
40,2024-12-15,26.0,US,mobile_ios,direct,70k_100k,26.47,6.888,1,bank_debit,0,0,UTC+05:30,4.0.0-beta,13,1,0.73,49
41,2024-04-23,24.0,AU,mobile_ios,direct,,60.07,43.334,1,apple_pay,0,1,UTC-05:00,3.11.1,13,1,0.69,16
42,2024-03-15,29.0,US,tablet,direct,100k_150k,55.51,6.299,1,google_pay,0,0,UTC-08:00,3.11.1,15,1,0.79,10
43,2024-08-06,43.0,BR,mobile_ios,direct,70k_100k,59.21,8.352,1,paypal,1,1,UTC+05:30,3.9.1,7,0,0.94,31
44,2025-09-01,34.0,US,web_mobile,referral,<40k,40.39,5.287,1,card,1,0,UTC+00:00,3.10.0,13,0,0.52,87
45,2025-03-29,31.0,US,mobile_ios,paid_social,40k_70k,31.66,15.823,1,apple_pay,1,0,UTC+00:00,3.11.0,23,1,0.67,64
46,2024-05-10,32.0,AU,mobile_android,affiliate,40k_70k,32.02,9.031,1,card,1,0,UTC+00:00,3.10.2,7,0,0.76,18
47,2024-01-27,23.0,BR,web_desktop,affiliate,100k_150k,48.92,6.025,1,paypal,0,1,UTC+08:00,3.11.0,3,1,0.97,3
48,2024-07-02,30.0,BR,web_mobile,email,40k_70k,79.09,13.552,1,paypal,0,1,UTC+01:00,3.10.2,9,1,0.5,26
49,2024-07-18,19.0,CA,mobile_android,organic_search,70k_100k,44.46,6.755,1,card,0,0,UTC-05:00,3.9.1,20,1,0.67,28
50,2025-12-03,16.0,CA,mobile_android,paid_social,150k_plus,54.0,12.413,1,card,1,0,UTC+00:00,3.10.0,6,1,0.51,100
51,2024-05-04,24.0,CA,mobile_android,email,40k_70k,48.13,5.359,1,card,1,0,UTC-08:00,3.11.1,14,0,0.81,17
52,2025-07-19,31.0,US,mobile_ios,email,100k_150k,58.91,2.368,1,card,0,0,UTC-05:00,3.10.0,8,1,0.54,80
53,2024-10-08,27.0,US,web_desktop,paid_social,40k_70k,44.06,16.41,1,card,0,0,UTC-05:00,3.10.2,14,1,0.73,40
